""	"X"	"PERSON_ID"	"FIRST_NAME"	"LAST_NAME"	"DISPLAY_FIRST_LAST"	"DISPLAY_LAST_COMMA_FIRST"	"DISPLAY_FI_LAST"	"BIRTHDATE"	"SCHOOL"	"COUNTRY"	"LAST_AFFILIATION"	"HEIGHT"	"WEIGHT"	"SEASON_EXP"	"JERSEY"	"POSITION"	"ROSTERSTATUS"	"TEAM_ID"	"TEAM_NAME"	"TEAM_ABBREVIATION"	"TEAM_CODE"	"TEAM_CITY"	"PLAYERCODE"	"FROM_YEAR"	"TO_YEAR"	"DLEAGUE_FLAG"
"1"	0	2	"Byron"	"Scott"	"Byron Scott"	"Scott, Byron"	"B. Scott"	"1961-03-28T00:00:00"	"Arizona State"	"US"	"Arizona State/US"	"6-4"	205	13	"4"	"Guard"	"Active"	1610612747	"Lakers"	"LAL"	"lakers"	"Los Angeles"	"byron_scott"	1983	1996	"N"
"2"	0	3	"Grant"	"Long"	"Grant Long"	"Long, Grant"	"G. Long"	"1966-03-12T00:00:00"	"Eastern Michigan"	"US"	"Eastern Michigan ''88/US"	""	NA	0	""	""	"Inactive"	0	""	""	""	""	"grant_long"	1988	2002	"N"
"3"	0	7	"Dan"	"Schayes"	"Dan Schayes"	"Schayes, Dan"	"D. Schayes"	"1959-05-10T00:00:00"	"Syracuse"	"US"	"Syracuse/US"	"6-11"	260	17	"24"	"Center"	"Active"	1610612753	"Magic"	"ORL"	"magic"	"Orlando"	"HISTADD_danny_schayes"	1981	1998	"N"
"4"	0	9	"Sedale"	"Threatt"	"Sedale Threatt"	"Threatt, Sedale"	"S. Threatt"	"1961-09-10T00:00:00"	"West Virginia Tech"	"US"	"West Virginia Tech/US"	"6-2"	185	13	"2"	"Guard"	"Active"	1610612745	"Rockets"	"HOU"	"rockets"	"Houston"	"HISTADD_sedale_threatt"	1983	1996	"N"
"5"	0	11	"Brian"	"Greene"	"Brian Greene"	"Greene, Brian"	"B. Greene"	""	""	""	""	""	NA	0	""	""	"Inactive"	0	""	""	""	""	"tmp_brian_greene"	NA	NA	"Y"
"6"	0	12	"Chris"	"King"	"Chris King"	"King, Chris"	"C. King"	"1969-07-24T00:00:00"	"Wake Forest"	"US"	"Wake Forest/US"	""	NA	0	""	""	"Inactive"	0	""	""	""	""	"HISTADD_chris_king"	1993	1998	"N"
"7"	0	15	"Eric"	"Piatkowski"	"Eric Piatkowski"	"Piatkowski, Eric"	"E. Piatkowski"	"1970-09-30T00:00:00"	"Nebraska"	"US"	"Nebraska/US"	"6-7"	215	13	"52"	"Guard-Forward"	"Active"	1610612756	"Suns"	"PHX"	"suns"	"Phoenix"	"eric_piatkowski"	1994	2007	"N"
"8"	0	17	"Clyde"	"Drexler"	"Clyde Drexler"	"Drexler, Clyde"	"C. Drexler"	"1962-06-22T00:00:00"	"Houston"	"US"	"Houston/US"	"6-7"	222	14	"22"	"Guard"	"Active"	1610612745	"Rockets"	"HOU"	"rockets"	"Houston"	"HISTADD_clyde_drexler"	1983	1997	"N"
"9"	0	21	"Greg"	"Anthony"	"Greg Anthony"	"Anthony, Greg"	"G. Anthony"	"1967-11-15T00:00:00"	"UNLV"	"US"	"Portland; Nevada-Las Vegas/US"	"6-1"	180	10	"50"	"Guard"	"Active"	1610612749	"Bucks"	"MIL"	"bucks"	"Milwaukee"	"HISTADD_greg_anthony"	1991	2001	"N"
"10"	0	22	"Rik"	"Smits"	"Rik Smits"	"Smits, Rik"	"R. Smits"	"1966-08-23T00:00:00"	"Marist"	"US"	"Marist/US"	"7-4"	265	11	"45"	"Center"	"Active"	1610612754	"Pacers"	"IND"	"pacers"	"Indiana"	"HISTADD_rik_smits"	1988	1999	"N"
"11"	0	23	"Dennis"	"Rodman"	"Dennis Rodman"	"Rodman, Dennis"	"D. Rodman"	"1961-05-13T00:00:00"	"Southeast Oklahoma State"	"US"	"Cooke Co. Coll. TX (J.C.); Southeastern Oklahoma S"	""	NA	0	""	""	"Inactive"	0	""	""	""	""	"HISTADD_dennis_rodman"	1986	1999	"N"
"12"	0	24	"Keith"	"Jennings"	"Keith Jennings"	"Jennings, Keith"	"K. Jennings"	"1968-11-02T00:00:00"	"East Tennessee State"	"US"	"East Tennessee State/US"	"5-7"	160	2	"2"	"Guard"	"Active"	1610612744	"Warriors"	"GOS"	"warriors"	"Golden State"	"HISTADD_keith_jennings"	1992	1994	"N"
"13"	0	26	"Luc"	"Longley"	"Luc Longley"	"Longley, Luc"	"L. Longley"	"1969-01-19T00:00:00"	"New Mexico"	"US"	"New Mexico/US"	""	NA	0	""	""	"Inactive"	0	""	""	""	""	"HISTADD_luc_longley"	1991	2000	"N"
"14"	0	28	"Doug"	"West"	"Doug West"	"West, Doug"	"D. West"	"1967-05-27T00:00:00"	"Villanova"	"US"	"Villanova/US"	""	NA	0	""	""	"Inactive"	0	""	""	""	""	"HISTADD_doug_west"	1989	2000	"N"
"15"	0	29	"Jim"	"McIlvaine"	"Jim McIlvaine"	"McIlvaine, Jim"	"J. McIlvaine"	"1972-07-30T00:00:00"	"Marquette"	"US"	"Marquette/US"	""	NA	0	""	""	"Inactive"	0	""	""	""	""	"HISTADD_jim_mcilvaine"	1994	2000	"N"
"16"	0	30	"Richard"	"Dumas"	"Richard Dumas"	"Dumas, Richard"	"R. Dumas"	"1969-05-19T00:00:00"	"Oklahoma State"	"US"	"Oklahoma State/US"	"6-7"	225	2	"7"	"Forward"	"Active"	1610612755	"76ers"	"PHL"	"sixers"	"Philadelphia"	"HISTADD_richard_dumas"	1992	1995	"N"
"17"	0	31	"Lorenzo"	"Williams"	"Lorenzo Williams"	"Williams, Lorenzo"	"L. Williams"	"1969-07-15T00:00:00"	"Stetson"	"US"	"Polk CC FL; Stetson/US"	""	NA	0	""	""	"Inactive"	0	""	""	""	""	"HISTADD_lorenzo_williams"	1992	1999	"N"
"18"	0	32	"Clifford"	"Rozier"	"Clifford Rozier"	"Rozier, Clifford"	"C. Rozier"	"1972-10-31T00:00:00"	"Louisville"	"US"	"North Carolina; Louisville/US"	""	NA	0	""	""	"Inactive"	0	""	""	""	""	"HISTADD_clifford_rozier"	1994	1997	"N"
