	teamAbb	PTM2_1ft	PTM2_3ft	PTM2_5ft	PTM2_7ft	PTM2_9ft	PTM2_11ft	PTM2_13ft	PTM2_15ft	PTM2_17ft	PTM2_19ft	PTM2_21ft	PTM2_23ft	PTM3_23ft	PTM3_25ft	PTM3_27ft	PTA2_1ft	PTA2_3ft	PTA2_5ft	PTA2_7ft	PTA2_9ft	PTA2_11ft	PTA2_13ft	PTA2_15ft	PTA2_17ft	PTA2_19ft	PTA2_21ft	PTA2_23ft	PTA3_23ft	PTA3_25ft	PTA3_27ft	PTD2_1ft	PTD2_3ft	PTD2_5ft	PTD2_7ft	PTD2_9ft	PTD2_11ft	PTD2_13ft	PTD2_15ft	PTD2_17ft	PTD2_19ft	PTD2_21ft	PTD2_23ft	PTD3_23ft	PTD3_25ft	PTD3_27ft	PTT2_1ft	PTT2_3ft	PTT2_5ft	PTT2_7ft	PTT2_9ft	PTT2_11ft	PTT2_13ft	PTT2_15ft	PTT2_17ft	PTT2_19ft	PTT2_21ft	PTT2_23ft	PTT3_23ft	PTT3_25ft	PTT3_27ft
ATL_2013-14_Regular_Off	ATL_2013-14_Regular_Off	266	508	359	223	148	115	99	121	116	142	71	19	266	397	42	416	794	658	495	367	292	234	268	273	335	176	60	671	1100	128	1135.6000000000001	2544.7999999999997	1692.6000000000001	1350.8999999999999	1135.3000000000002	1073.2999999999997	1002.9000000000001	1262.2	1371.0000000000005	1868.1999999999998	948.3000000000001	321.9	4530.599999999999	7407.700000000002	739.3000000000001	5011.399999999999	10529.800000000001	8401.399999999998	5772.099999999999	4040.2999999999997	3079.6000000000004	2574.6000000000004	2769.0000000000005	2990.2	3413.7999999999997	1652.9	498.7000000000001	7649.2	12541.100000000002	1226.9000000000003
ATL_2013-14_Regular_Def	ATL_2013-14_Regular_Def	288	529	408	216	113	85	63	105	143	184	148	33	202	322	29	459	854	750	450	262	228	184	234	338	435	368	100	517	884	107	1029.6999999999996	2044.0000000000002	1749.1000000000001	1123.7	739.9000000000001	736.4	717.1999999999998	1031.9999999999998	1577.0999999999997	2352.4000000000005	1981.3000000000004	536.0	3337.4000000000005	5440.499999999995	577.1	4852.600000000001	10005.3	9035.400000000001	5025.200000000001	2755.8	2329.0999999999995	1901.9999999999995	2399.4000000000015	3529.4999999999986	4848.799999999998	3788.800000000001	1092.6000000000001	5782.400000000003	10263.300000000001	977.8000000000001
ATL_2013-14_Playoffs_Off	ATL_2013-14_Playoffs_Off	14	40	23	14	8	2	2	2	5	13	7	3	20	46	7	26	67	49	36	29	14	16	12	17	28	20	6	54	138	22	64.0	187.79999999999998	109.40000000000003	93.3	79.19999999999999	49.8	64.1	53.29999999999999	84.5	146.20000000000002	82.6	24.700000000000003	303.80000000000007	825.0	116.3	211.70000000000002	931.6000000000001	510.90000000000003	388.3	307.1	145.2	135.50000000000003	127.6	187.60000000000002	258.5	167.3	71.8	671.0	1564.5	218.39999999999998
ATL_2013-14_Playoffs_Def	ATL_2013-14_Playoffs_Def	19	28	32	16	11	3	4	6	8	13	9	1	14	19	1	27	54	58	35	22	17	9	12	22	36	18	3	37	55	6	67.2	147.20000000000002	144.50000000000003	90.20000000000002	54.599999999999994	51.400000000000006	39.099999999999994	52.5	124.80000000000001	195.7	97.3	18.2	246.0	360.7	37.400000000000006	290.3	589.9000000000001	640.0999999999999	354.0	238.3	185.5	80.0	99.5	210.0	447.2	159.7	19.099999999999998	308.2	596.8	33.2
ATL_2014-15_Regular_Off	ATL_2014-15_Regular_Off	222	430	351	164	103	61	41	63	104	139	80	22	251	305	36	319	698	653	415	261	145	115	136	242	304	181	46	571	867	90	825.3999999999999	2143.6000000000004	1706.3	1068.8999999999996	817.9000000000001	531.5	469.70000000000005	649.6999999999999	1304.1000000000004	1863.6999999999996	1088.1000000000004	302.8	3996.6000000000004	5803.899999999999	514.6999999999999	3368.3000000000006	8183.700000000002	7653.6	4248.0	2654.3999999999996	1524.6999999999996	1116.2	1332.4999999999998	2557.1	3163.7	1743.9000000000003	531.9000000000001	6829.7	10118.600000000002	972.0999999999998
ATL_2014-15_Regular_Def	ATL_2014-15_Regular_Def	230	473	281	146	79	70	48	70	108	118	110	23	186	292	48	381	737	562	332	230	174	127	174	242	319	295	76	535	876	143	909.9000000000009	1903.0999999999997	1302.9	805.6000000000001	648.7000000000002	513.7	470.39999999999986	733.9	1195.0	1696.2999999999997	1551.3000000000006	401.09999999999997	3267.9	5288.099999999998	753.3999999999999	3870.1000000000013	8345.8	6686.599999999999	3572.100000000003	2408.4999999999995	1779.0000000000005	1424.6000000000008	1833.9999999999993	2585.7000000000007	3315.6999999999994	3007.9999999999986	784.3	6080.699999999997	10106.499999999998	1439.8999999999999
ATL_2014-15_Playoffs_Off	ATL_2014-15_Playoffs_Off	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ATL_2014-15_Playoffs_Def	ATL_2014-15_Playoffs_Def	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BKN_2013-14_Regular_Off	BKN_2013-14_Regular_Off	246	359	278	160	124	121	101	87	94	115	98	28	250	338	42	361	601	506	362	295	260	216	206	241	281	227	62	621	904	137	969.5	1683.6	1252.0	892.8999999999999	823.5	796.9000000000001	752.8000000000001	826.5	1051.1	1424.1999999999996	1293.5999999999997	324.2	3652.4	5092.199999999999	714.3	3365.500000000001	6400.900000000001	5593.099999999999	3575.9000000000005	2808.5	2313.1	1877.7	1738.8000000000002	2097.7999999999997	2402.1	2002.8999999999999	634.9	6658.299999999999	9611.800000000001	1209.4999999999998
BKN_2013-14_Regular_Def	BKN_2013-14_Regular_Def	299	544	374	173	98	59	58	89	126	162	131	29	173	323	70	436	873	710	398	286	169	164	198	294	361	356	103	471	851	161	1132.7999999999993	2603.8000000000025	1856.6000000000006	1058.9000000000003	858.4000000000005	595.9999999999999	600.9000000000001	899.5999999999999	1378.7000000000003	1906.4000000000008	1812.6000000000006	530.1999999999999	3013.5999999999995	5147.899999999999	861.8999999999999	4321.800000000001	9362.10000000001	7804.300000000004	4148.700000000001	2551.0	1435.3	1444.4	1781.6999999999998	2882.600000000001	3305.3000000000006	3132.2000000000007	1004.1999999999999	4829.7	8977.4	1456.6999999999996
