	X	PlayerID	Player.Name	Season	PT2M_0	PT2M_1	PT2M_2	PT2M_3	PT2M_4	PT2M_5	PT2M_6	PT2M_7	PT2M_8	PT2M_9	PT2M_10	PT2M_11	PT2M_12	PT2M_13	PT2M_14	PT2M_15	PT2M_16	PT2M_17	PT2M_18	PT2M_19	PT2M_20	PT2M_21	PT2M_22	PT2M_23	PT2M_24	PT2A_0	PT2A_1	PT2A_2	PT2A_3	PT2A_4	PT2A_5	PT2A_6	PT2A_7	PT2A_8	PT2A_9	PT2A_10	PT2A_11	PT2A_12	PT2A_13	PT2A_14	PT2A_15	PT2A_16	PT2A_17	PT2A_18	PT2A_19	PT2A_20	PT2A_21	PT2A_22	PT2A_23	PT2A_24	PT3M_22	PT3M_23	PT3M_24	PT3M_25	PT3M_26	PT3M_27	PT3M_28	PT3M_29	PT3M_30	PT3M_31	PT3M_32	PT3M_33	PT3M_34	PT3M_35	PT3M_36	PT3M_37	PT3M_38	PT3A_22	PT3A_23	PT3A_24	PT3A_25	PT3A_26	PT3A_27	PT3A_28	PT3A_29	PT3A_30	PT3A_31	PT3A_32	PT3A_33	PT3A_34	PT3A_35	PT3A_36	PT3A_37	PT3A_38
1	A	708	Kevin Garnett	2013-14	2	7	10	7	7	5	3	1	3	2	4	3	6	2	7	5	6	6	9	11	23	11	10	0	0	2	12	14	18	11	10	9	6	12	8	11	7	17	7	16	8	12	13	28	24	53	30	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
2	A	708	Kevin Garnett	2014-15	0	4	9	2	5	8	2	2	3	4	2	1	3	5	2	2	4	10	6	8	14	20	7	0	0	1	8	13	9	7	10	7	5	8	9	13	9	7	10	5	4	6	12	20	16	35	37	17	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0
3	A	951	Ray Allen	2013-14	2	2	17	13	12	7	6	7	1	5	2	1	6	6	5	1	4	4	4	9	4	2	0	0	3	2	7	26	23	18	13	12	11	6	5	4	4	10	10	8	6	8	10	6	11	10	9	2	2	10	13	33	39	23	2	1	2	0	0	0	0	0	0	0	0	1	0	31	76	117	53	13	3	3	1	0	2	1	1	0	0	0	2	1
4	A	959	Steve Nash	2013-14	0	0	1	0	1	1	1	3	0	1	1	0	1	3	4	4	2	2	1	0	1	0	1	0	0	0	0	2	1	4	2	1	3	1	1	3	6	1	6	7	5	6	6	3	2	5	2	2	0	1	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	4	0	0	0	0	0	0	0	0	0	0	0	0	0
5	A	965	Derek Fisher	2013-14	0	1	4	1	2	2	0	3	1	0	2	1	3	1	2	1	1	2	4	6	6	2	4	4	0	0	2	4	3	6	4	6	5	6	2	5	6	6	2	4	3	3	6	10	8	12	9	10	8	2	10	11	18	17	13	13	2	1	1	0	0	0	0	0	0	0	0	41	26	52	39	30	24	8	2	1	0	0	0	0	0	1	0	0
6	A	977	Kobe Bryant	2013-14	0	1	3	2	3	1	2	0	1	0	1	2	0	2	0	1	2	0	0	2	3	1	1	0	0	0	1	4	2	4	1	3	0	5	0	1	3	1	2	3	3	4	2	3	2	7	1	3	1	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	3	5	1	1	1	3	0	0	0	0	0	0	0	0	0
7	A	977	Kobe Bryant	2014-15	0	8	12	14	9	11	3	8	10	5	6	4	9	7	6	16	12	12	13	7	11	5	13	5	6	2	12	18	25	25	20	13	15	21	17	18	9	17	21	24	30	37	33	35	27	36	22	27	13	12	2	6	12	15	10	4	3	1	0	0	1	0	0	0	0	0	0	3	13	31	69	37	14	7	4	1	0	3	0	0	1	0	0	0
8	A	979	Jermaine O'Neal	2013-14	3	13	18	20	14	9	13	6	4	3	4	0	3	4	5	0	2	1	0	0	0	0	0	0	0	8	18	28	28	26	22	24	15	13	13	8	2	10	6	7	4	7	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	A	1495	Tim Duncan	2013-14	5	16	46	56	51	32	38	26	19	10	10	6	5	7	7	5	8	13	10	27	39	5	1	0	0	6	24	67	73	81	65	69	59	47	26	36	19	15	8	16	13	24	26	30	73	96	20	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0
10	A	1495	Tim Duncan	2014-15	4	14	31	29	56	24	25	25	20	7	8	3	5	3	3	2	7	1	0	5	17	1	2	0	0	5	19	47	41	88	50	53	52	43	25	26	16	17	8	8	8	15	6	8	15	30	4	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
